35680099333	LAC-DAL-05012024	35	7	10	0
35680099333	OKC-DAL-05152024	31	10	11	1
35680099333	MIN-DAL-05302024	36	10	5	0
35680099333	BOS-DAL-06062024	30	10	1	0
18283240321	LAC-DAL-05012024	14	4	6	0
18283240321	OKC-DAL-05152024	12	2	4	0
18283240321	MIN-DAL-05302024	36	4	5	0
18283240321	BOS-DAL-06062024	12	3	2	0
92373225612	LAC-DAL-05012024	12	7	1	1
92373225612	OKC-DAL-05152024	11	10	1	1
92373225612	MIN-DAL-05302024	9	8	3	3
92373225612	BOS-DAL-06062024	2	5	1	0
78603734755	BOS-DAL-06062024	16	11	5	1
77647727970	BOS-DAL-06062024	22	6	2	3
74329767072	LAC-DAL-05012024	7	4	7	0
31035076511	LAC-DAL-05012024	15	11	4	0
96914561353	LAC-DAL-05012024	15	6	2	0
71999939187	OKC-DAL-05152024	30	6	8	1
33877762940	OKC-DAL-05152024	13	4	1	1
34697271200	OKC-DAL-05152024	12	6	4	0
87087426007	MIN-DAL-05302024	28	9	6	1
23350594229	MIN-DAL-05302024	9	5	1	0
13047000027	MIN-DAL-05302024	28	12	2	0